phase,episode,government,epsilon,games,white_wins,black_wins,draws,average_plies,average_prediction_error,average_constitutional_regret,average_discontent
train,1,democracy,0.25,1,0,1,0,96.0,1.7269,0.0902,0.568
train,1,monarchy,0.25,1,0,0,1,63.0,0.481,0.1353,0.6253
train,1,dictatorship,0.25,1,0,0,1,80.0,0.4162,0.1287,0.605
train,1,utilitarian,0.25,1,0,0,1,60.0,0.5596,0.0656,0.4238
train,1,reputation,0.25,1,0,1,0,96.0,1.7269,0.0902,0.568
train,1,technocracy,0.25,1,0,0,1,72.0,0.5231,0.0873,0.5759
train,1,anarchy,0.25,1,0,0,1,23.0,0.6337,0.1135,0.5897
train,2,democracy,0.2478,1,0,0,1,46.0,2.0708,0.2024,0.4791
train,2,monarchy,0.2478,1,0,0,1,100.0,0.4392,0.1084,0.5451
train,2,dictatorship,0.2478,1,0,0,1,20.0,0.2941,0.1886,0.6125
train,2,utilitarian,0.2478,1,0,0,1,15.0,0.308,0.0754,0.3852
train,2,reputation,0.2478,1,0,0,1,19.0,2.0706,0.1899,0.4671
train,2,technocracy,0.2478,1,0,0,1,26.0,0.4517,0.1132,0.567
train,2,anarchy,0.2478,1,0,0,1,23.0,0.2964,0.132,0.5815
train,3,democracy,0.2456,1,0,0,1,11.0,0.2899,0.102,0.4375
train,3,monarchy,0.2456,1,0,0,1,18.0,0.516,0.1168,0.5365
train,3,dictatorship,0.2456,1,0,0,1,100.0,0.3721,0.1465,0.6014
train,3,utilitarian,0.2456,1,0,0,1,15.0,0.1881,0.0787,0.522
train,3,reputation,0.2456,1,0,0,1,100.0,1.0514,0.1785,0.5265
train,3,technocracy,0.2456,1,0,0,1,19.0,0.3286,0.1038,0.4895
train,3,anarchy,0.2456,1,0,0,1,38.0,0.3403,0.0877,0.4847
train,4,democracy,0.2433,1,0,0,1,12.0,0.2333,0.1193,0.4844
train,4,monarchy,0.2433,1,0,0,1,23.0,0.2612,0.1159,0.538
train,4,dictatorship,0.2433,1,0,0,1,21.0,0.3622,0.1928,0.5833
train,4,utilitarian,0.2433,1,0,0,1,9.0,0.1451,0.0633,0.4722
train,4,reputation,0.2433,1,0,0,1,12.0,0.7216,0.1334,0.3906
train,4,technocracy,0.2433,1,0,0,1,16.0,0.1191,0.0927,0.4766
train,4,anarchy,0.2433,1,0,0,1,56.0,0.6166,0.0722,0.4442
train,5,democracy,0.2411,1,0,0,1,13.0,0.1925,0.11,0.3702
train,5,monarchy,0.2411,1,0,0,1,13.0,0.1985,0.1062,0.4663
train,5,dictatorship,0.2411,1,0,0,1,13.0,0.2086,0.1267,0.4712
train,5,utilitarian,0.2411,1,0,0,1,13.0,0.1169,0.0699,0.4038
train,5,reputation,0.2411,1,0,0,1,19.0,0.617,0.1298,0.3511
train,5,technocracy,0.2411,1,0,0,1,13.0,0.0958,0.0885,0.4567
train,5,anarchy,0.2411,1,0,0,1,47.0,0.6463,0.0724,0.4425
train,6,democracy,0.2389,1,0,0,1,11.0,0.1534,0.1142,0.3807
train,6,monarchy,0.2389,1,0,0,1,21.0,0.2596,0.0978,0.4435
train,6,dictatorship,0.2389,1,0,0,1,58.0,0.2164,0.1094,0.4835
train,6,utilitarian,0.2389,1,0,0,1,11.0,0.1065,0.0618,0.4489
train,6,reputation,0.2389,1,0,0,1,11.0,0.3752,0.1118,0.3693
train,6,technocracy,0.2389,1,0,0,1,15.0,0.0901,0.0901,0.4708
train,6,anarchy,0.2389,1,0,0,1,33.0,0.3966,0.053,0.3619
train,7,democracy,0.2367,1,0,0,1,12.0,0.1486,0.1153,0.4323
train,7,monarchy,0.2367,1,0,0,1,26.0,0.1899,0.1048,0.512
train,7,dictatorship,0.2367,1,0,1,0,28.0,2.495,0.114,0.4279
