phase,episode,government,epsilon,games,white_wins,black_wins,draws,average_plies,average_prediction_error,average_constitutional_regret
train,1,democracy,0.25,1,0,0,1,70.0,0.596,0.0855
train,1,monarchy,0.25,1,0,0,1,33.0,0.8239,0.1464
train,1,dictatorship,0.25,1,0,0,1,22.0,0.6521,0.1605
train,1,utilitarian,0.25,1,0,0,1,53.0,0.6913,0.0852
train,1,reputation,0.25,1,0,0,1,70.0,0.596,0.0855
train,2,democracy,0.2384,1,0,0,1,23.0,0.3684,0.1044
train,2,monarchy,0.2384,1,0,0,1,41.0,0.2414,0.1344
train,2,dictatorship,0.2384,1,0,0,1,41.0,0.3614,0.1378
train,2,utilitarian,0.2384,1,0,0,1,39.0,0.5933,0.0716
train,2,reputation,0.2384,1,0,0,1,61.0,0.3721,0.0829
train,3,democracy,0.2268,1,0,0,1,12.0,0.2618,0.1181
train,3,monarchy,0.2268,1,0,0,1,14.0,0.1187,0.1138
train,3,dictatorship,0.2268,1,0,0,1,14.0,0.1793,0.133
train,3,utilitarian,0.2268,1,0,0,1,9.0,0.1938,0.0564
train,3,reputation,0.2268,1,0,0,1,12.0,0.2033,0.093
train,4,democracy,0.2153,1,0,0,1,10.0,0.2112,0.1213
train,4,monarchy,0.2153,1,0,0,1,38.0,0.1832,0.0871
train,4,dictatorship,0.2153,1,0,0,1,24.0,0.1645,0.1298
train,4,utilitarian,0.2153,1,0,0,1,9.0,0.1729,0.0692
train,4,reputation,0.2153,1,0,0,1,10.0,0.1665,0.0967
train,5,democracy,0.2037,1,0,0,1,33.0,0.2585,0.0882
train,5,monarchy,0.2037,1,0,1,0,52.0,2.1447,0.1078
train,5,dictatorship,0.2037,1,0,0,1,27.0,0.2149,0.1204
train,5,utilitarian,0.2037,1,1,0,0,27.0,2.5102,0.038
train,5,reputation,0.2037,1,0,0,1,13.0,0.1339,0.0985
frozen_self_play,5,democracy,0.0,3,1,0,2,15.67,0.9028,0.0908
frozen_self_play,5,monarchy,0.0,3,0,0,3,57.0,1.8138,0.1539
frozen_self_play,5,dictatorship,0.0,3,0,0,3,11.0,0.0977,0.1148
frozen_self_play,5,utilitarian,0.0,3,0,0,3,11.0,0.9794,0.0679
frozen_self_play,5,reputation,0.0,3,1,0,2,15.67,0.9249,0.0832
train,6,democracy,0.1921,1,0,0,1,9.0,0.1155,0.0943
train,6,monarchy,0.1921,1,0,0,1,39.0,2.016,0.2097
train,6,dictatorship,0.1921,1,0,0,1,13.0,0.0914,0.1064
train,6,utilitarian,0.1921,1,0,0,1,9.0,0.9889,0.0668
train,6,reputation,0.1921,1,0,0,1,9.0,0.1223,0.0845
train,7,democracy,0.1805,1,0,0,1,9.0,0.1107,0.1021
train,7,monarchy,0.1805,1,0,0,1,9.0,0.439,0.0436
train,7,dictatorship,0.1805,1,0,0,1,10.0,0.0897,0.1182
train,7,utilitarian,0.1805,1,0,0,1,9.0,0.8136,0.0666
train,7,reputation,0.1805,1,0,0,1,9.0,0.1137,0.0936
train,8,democracy,0.1689,1,0,0,1,10.0,0.0952,0.1014
train,8,monarchy,0.1689,1,0,0,1,10.0,0.4166,0.0444
train,8,dictatorship,0.1689,1,0,0,1,10.0,0.0842,0.1166
train,8,utilitarian,0.1689,1,0,0,1,10.0,0.6393,0.0712
train,8,reputation,0.1689,1,0,0,1,10.0,0.1022,0.0909
train,9,democracy,0.1574,1,0,0,1,12.0,0.0794,0.1037
train,9,monarchy,0.1574,1,0,0,1,12.0,0.3575,0.0411
train,9,dictatorship,0.1574,1,0,0,1,23.0,0.1798,0.1244
train,9,utilitarian,0.1574,1,0,0,1,9.0,0.5581,0.0589
train,9,reputation,0.1574,1,0,0,1,12.0,0.0863,0.0916
train,10,democracy,0.1458,1,0,0,1,22.0,0.2407,0.0764
train,10,monarchy,0.1458,1,1,0,0,49.0,1.7748,0.1013
train,10,dictatorship,0.1458,1,0,0,1,23.0,0.1462,0.1118
train,10,utilitarian,0.1458,1,0,0,1,11.0,0.4563,0.0497
train,10,reputation,0.1458,1,0,0,1,22.0,0.2571,0.071
frozen_self_play,10,democracy,0.0,3,0,0,3,11.0,0.0843,0.1001
frozen_self_play,10,monarchy,0.0,3,0,0,3,28.67,1.0666,0.2129
frozen_self_play,10,dictatorship,0.0,3,0,0,3,11.0,0.0875,0.1117
frozen_self_play,10,utilitarian,0.0,3,0,0,3,11.67,0.3798,0.0535
frozen_self_play,10,reputation,0.0,3,0,0,3,11.0,0.0787,0.0909
train,11,democracy,0.1342,1,0,0,1,10.0,0.0829,0.0976
train,11,monarchy,0.1342,1,0,0,1,42.0,1.0056,0.1881
train,11,dictatorship,0.1342,1,0,0,1,10.0,0.0905,0.1078
train,11,utilitarian,0.1342,1,0,0,1,10.0,0.362,0.0718
train,11,reputation,0.1342,1,0,0,1,10.0,0.0786,0.0911
train,12,democracy,0.1226,1,0,0,1,9.0,0.0948,0.0948
train,12,monarchy,0.1226,1,0,0,1,9.0,0.3411,0.0544
train,12,dictatorship,0.1226,1,0,0,1,12.0,0.0883,0.1208
train,12,utilitarian,0.1226,1,0,0,1,9.0,0.3178,0.0596
train,12,reputation,0.1226,1,0,0,1,9.0,0.0868,0.0867
train,13,democracy,0.1111,1,0,0,1,13.0,0.0896,0.089
train,13,monarchy,0.1111,1,0,0,1,13.0,0.2868,0.0627
train,13,dictatorship,0.1111,1,0,0,1,20.0,0.0893,0.1078
train,13,utilitarian,0.1111,1,0,1,0,30.0,2.6312,0.044
train,13,reputation,0.1111,1,0,0,1,13.0,0.0881,0.0837
train,14,democracy,0.0995,1,0,0,1,12.0,0.0686,0.0964
train,14,monarchy,0.0995,1,0,0,1,12.0,0.257,0.0641
train,14,dictatorship,0.0995,1,0,0,1,14.0,0.068,0.1056
train,14,utilitarian,0.0995,1,0,0,1,7.0,0.916,0.0871
train,14,reputation,0.0995,1,0,0,1,12.0,0.0668,0.088
train,15,democracy,0.0879,1,0,0,1,10.0,0.0697,0.0975
train,15,monarchy,0.0879,1,0,0,1,10.0,0.2018,0.0516
train,15,dictatorship,0.0879,1,0,0,1,16.0,0.1608,0.1129
train,15,utilitarian,0.0879,1,0,0,1,9.0,0.798,0.1007
train,15,reputation,0.0879,1,0,0,1,10.0,0.069,0.0888
frozen_self_play,15,democracy,0.0,3,0,0,3,11.0,0.0696,0.0929
frozen_self_play,15,monarchy,0.0,3,0,0,3,11.0,0.1834,0.0729
