phase,episode,government,epsilon,games,white_wins,black_wins,draws,average_plies,average_prediction_error,average_constitutional_regret
train,1,democracy,0.25,1,0,0,1,70.0,0.3886,0.0855
train,1,monarchy,0.25,1,0,0,1,33.0,0.3294,0.1464
train,1,dictatorship,0.25,1,0,0,1,22.0,0.2719,0.1605
train,1,utilitarian,0.25,1,0,0,1,53.0,0.3484,0.0852
train,1,reputation,0.25,1,0,0,1,70.0,0.3886,0.0855
train,2,democracy,0.2384,1,0,0,1,14.0,0.1844,0.1397
train,2,monarchy,0.2384,1,0,0,1,19.0,0.1758,0.1329
train,2,dictatorship,0.2384,1,0,0,1,35.0,0.2419,0.1484
train,2,utilitarian,0.2384,1,0,0,1,39.0,0.163,0.0816
train,2,reputation,0.2384,1,0,0,1,14.0,0.1844,0.1397
train,3,democracy,0.2268,1,0,0,1,12.0,0.1181,0.1403
train,3,monarchy,0.2268,1,0,0,1,14.0,0.0615,0.1697
train,3,dictatorship,0.2268,1,0,0,1,14.0,0.0514,0.1691
train,3,utilitarian,0.2268,1,0,0,1,12.0,0.093,0.1112
train,3,reputation,0.2268,1,0,0,1,12.0,0.1181,0.1403
train,4,democracy,0.2153,1,0,0,1,10.0,0.092,0.1447
train,4,monarchy,0.2153,1,0,0,1,37.0,0.1507,0.1448
train,4,dictatorship,0.2153,1,0,0,1,65.0,0.1073,0.1533
train,4,utilitarian,0.2153,1,0,0,1,15.0,0.0738,0.1046
train,4,reputation,0.2153,1,0,0,1,10.0,0.092,0.1447
train,5,democracy,0.2037,1,0,1,0,36.0,3.1182,0.113
train,5,monarchy,0.2037,1,0,0,1,35.0,0.0625,0.1559
train,5,dictatorship,0.2037,1,0,0,1,35.0,0.0803,0.1527
train,5,utilitarian,0.2037,1,0,1,0,10.0,2.9671,0.0789
train,5,reputation,0.2037,1,0,0,1,16.0,0.0919,0.1418
frozen_self_play,5,democracy,0.0,3,0,0,3,34.67,1.6662,0.1176
frozen_self_play,5,monarchy,0.0,3,0,0,3,15.0,0.0702,0.142
frozen_self_play,5,dictatorship,0.0,3,1,0,2,18.33,1.0598,0.1388
frozen_self_play,5,utilitarian,0.0,3,0,0,3,78.0,0.753,0.0755
frozen_self_play,5,reputation,0.0,3,0,0,3,24.67,0.0949,0.1324
train,6,democracy,0.1921,1,0,0,1,43.0,1.5845,0.1415
train,6,monarchy,0.1921,1,0,0,1,13.0,0.0267,0.1358
train,6,dictatorship,0.1921,1,0,0,1,13.0,0.0403,0.1345
train,6,utilitarian,0.1921,1,0,0,1,41.0,0.5327,0.0974
train,6,reputation,0.1921,1,0,0,1,9.0,0.0485,0.1299
train,7,democracy,0.1805,1,0,0,1,9.0,0.4557,0.0546
train,7,monarchy,0.1805,1,0,0,1,9.0,0.0241,0.158
train,7,dictatorship,0.1805,1,0,0,1,10.0,0.0351,0.1533
train,7,utilitarian,0.1805,1,0,0,1,8.0,0.2184,0.1149
train,7,reputation,0.1805,1,0,0,1,9.0,0.0466,0.1449
train,8,democracy,0.1689,1,0,0,1,10.0,0.3737,0.0511
train,8,monarchy,0.1689,1,0,0,1,10.0,0.0206,0.1609
train,8,dictatorship,0.1689,1,0,0,1,10.0,0.0277,0.1571
train,8,utilitarian,0.1689,1,0,0,1,7.0,0.2141,0.1142
train,8,reputation,0.1689,1,0,0,1,10.0,0.0359,0.1449
train,9,democracy,0.1574,1,0,0,1,12.0,0.333,0.0508
train,9,monarchy,0.1574,1,0,0,1,22.0,0.0553,0.1554
train,9,dictatorship,0.1574,1,0,0,1,23.0,0.0547,0.1542
train,9,utilitarian,0.1574,1,0,0,1,13.0,0.1644,0.1106
train,9,reputation,0.1574,1,0,0,1,12.0,0.0345,0.1402
train,10,democracy,0.1458,1,0,0,1,24.0,0.3265,0.0589
train,10,monarchy,0.1458,1,0,0,1,23.0,0.1015,0.1347
train,10,dictatorship,0.1458,1,0,0,1,23.0,0.1012,0.131
train,10,utilitarian,0.1458,1,0,0,1,55.0,0.1691,0.0699
train,10,reputation,0.1458,1,0,0,1,37.0,0.2072,0.0888
frozen_self_play,10,democracy,0.0,3,0,0,3,11.0,0.1631,0.0523
frozen_self_play,10,monarchy,0.0,3,0,0,3,31.67,0.0789,0.1304
frozen_self_play,10,dictatorship,0.0,3,0,0,3,27.67,0.0738,0.1307
frozen_self_play,10,utilitarian,0.0,3,0,0,3,11.0,0.1159,0.1021
frozen_self_play,10,reputation,0.0,3,0,0,3,15.67,0.1127,0.1181
train,11,democracy,0.1342,1,0,0,1,10.0,0.1458,0.0615
train,11,monarchy,0.1342,1,0,0,1,10.0,0.0413,0.1428
train,11,dictatorship,0.1342,1,0,0,1,10.0,0.0417,0.1379
train,11,utilitarian,0.1342,1,0,0,1,15.0,0.12,0.1025
train,11,reputation,0.1342,1,0,0,1,10.0,0.0717,0.1274
train,12,democracy,0.1226,1,0,0,1,9.0,0.1431,0.0459
train,12,monarchy,0.1226,1,0,0,1,9.0,0.0323,0.1445
train,12,dictatorship,0.1226,1,0,0,1,12.0,0.0425,0.1462
train,12,utilitarian,0.1226,1,0,0,1,11.0,0.0777,0.1033
train,12,reputation,0.1226,1,0,0,1,9.0,0.0563,0.1226
train,13,democracy,0.1111,1,0,0,1,13.0,0.1358,0.0567
train,13,monarchy,0.1111,1,0,0,1,38.0,0.1276,0.1067
train,13,dictatorship,0.1111,1,0,0,1,20.0,0.0573,0.1317
train,13,utilitarian,0.1111,1,0,0,1,29.0,0.1202,0.0823
train,13,reputation,0.1111,1,0,0,1,14.0,0.0717,0.1211
train,14,democracy,0.0995,1,0,0,1,12.0,0.0951,0.0521
train,14,monarchy,0.0995,1,0,0,1,14.0,0.0688,0.1355
train,14,dictatorship,0.0995,1,0,0,1,14.0,0.0301,0.1321
train,14,utilitarian,0.0995,1,0,0,1,9.0,0.0811,0.1008
train,14,reputation,0.0995,1,0,0,1,12.0,0.0504,0.1233
train,15,democracy,0.0879,1,0,0,1,10.0,0.0718,0.0495
train,15,monarchy,0.0879,1,0,0,1,16.0,0.0481,0.1495
train,15,dictatorship,0.0879,1,0,0,1,16.0,0.0202,0.1493
train,15,utilitarian,0.0879,1,0,0,1,11.0,0.0638,0.104
train,15,reputation,0.0879,1,0,0,1,10.0,0.0374,0.1277
frozen_self_play,15,democracy,0.0,3,0,0,3,11.0,0.0692,0.0596
frozen_self_play,15,monarchy,0.0,3,0,0,3,11.0,0.0335,0.1384
frozen_self_play,15,dictatorship,0.0,3,0,0,3,11.0,0.0159,0.1352
frozen_self_play,15,utilitarian,0.0,3,0,0,3,13.0,0.0511,0.0981
frozen_self_play,15,reputation,0.0,3,0,0,3,11.0,0.0315,0.1221
train,16,democracy,0.0763,1,0,0,1,12.0,0.0639,0.0543
train,16,monarchy,0.0763,1,0,0,1,12.0,0.0341,0.1373
train,16,dictatorship,0.0763,1,0,0,1,26.0,0.0198,0.1297
train,16,utilitarian,0.0763,1,0,0,1,15.0,0.0449,0.1018
train,16,reputation,0.0763,1,0,0,1,12.0,0.0313,0.1219
train,17,democracy,0.0647,1,0,0,1,11.0,0.0614,0.0545
train,17,monarchy,0.0647,1,0,0,1,18.0,0.0478,0.1377
train,17,dictatorship,0.0647,1,0,0,1,18.0,0.047,0.132
train,17,utilitarian,0.0647,1,0,0,1,11.0,0.0475,0.0987
train,17,reputation,0.0647,1,0,0,1,11.0,0.0268,0.125
train,18,democracy,0.0532,1,0,0,1,22.0,0.1647,0.0508
train,18,monarchy,0.0532,1,0,0,1,14.0,0.1525,0.1041
train,18,dictatorship,0.0532,1,0,0,1,36.0,0.2135,0.0968
train,18,utilitarian,0.0532,1,0,0,1,13.0,0.0353,0.0991
train,18,reputation,0.0532,1,0,0,1,14.0,0.151,0.0923
train,19,democracy,0.0416,1,0,0,1,11.0,0.0538,0.0557
train,19,monarchy,0.0416,1,0,0,1,11.0,0.0483,0.1362
train,19,dictatorship,0.0416,1,0,0,1,11.0,0.0674,0.1226
train,19,utilitarian,0.0416,1,0,0,1,9.0,0.0364,0.099
train,19,reputation,0.0416,1,0,0,1,11.0,0.0442,0.1167
train,20,democracy,0.03,1,0,0,1,10.0,0.0447,0.0555
train,20,monarchy,0.03,1,0,0,1,10.0,0.0406,0.1314
train,20,dictatorship,0.03,1,0,0,1,65.0,0.1818,0.1043
train,20,utilitarian,0.03,1,0,0,1,11.0,0.0343,0.0985
train,20,reputation,0.03,1,0,0,1,10.0,0.036,0.1152
frozen_self_play,20,democracy,0.0,3,0,0,3,11.67,0.0496,0.0547
frozen_self_play,20,monarchy,0.0,3,0,0,3,11.67,0.0348,0.1304
frozen_self_play,20,dictatorship,0.0,3,0,0,3,11.67,0.1551,0.1212
frozen_self_play,20,utilitarian,0.0,3,0,0,3,19.33,0.1025,0.0952
frozen_self_play,20,reputation,0.0,3,0,0,3,11.67,0.033,0.1162
