phase,episode,government,epsilon,games,white_wins,black_wins,draws,average_plies,average_prediction_error,average_constitutional_regret,average_discontent
train,1,democracy,0.25,1,0,0,1,70.0,0.596,0.0855,0.5004
train,1,monarchy,0.25,1,0,0,1,33.0,0.8239,0.1464,0.6852
train,1,dictatorship,0.25,1,0,0,1,22.0,0.6521,0.1605,0.6794
train,1,utilitarian,0.25,1,0,0,1,53.0,0.6913,0.0852,0.4823
train,1,reputation,0.25,1,0,0,1,70.0,0.596,0.0855,0.5004
train,1,technocracy,0.25,1,0,0,1,100.0,0.3488,0.0969,0.5056
train,1,anarchy,0.25,1,1,0,0,23.0,2.4043,0.142,0.5353
train,2,democracy,0.2256,1,0,0,1,12.0,0.3704,0.1204,0.5523
train,2,monarchy,0.2256,1,0,0,1,93.0,0.2707,0.1044,0.4503
train,2,dictatorship,0.2256,1,0,0,1,100.0,0.2798,0.1313,0.6073
train,2,utilitarian,0.2256,1,0,0,1,39.0,0.5933,0.0716,0.4824
train,2,reputation,0.2256,1,0,0,1,12.0,0.3704,0.1204,0.5523
train,2,technocracy,0.2256,1,0,0,1,66.0,0.3463,0.1241,0.539
train,2,anarchy,0.2256,1,1,0,0,19.0,1.2929,0.1621,0.3631
train,3,democracy,0.2011,1,0,0,1,12.0,0.277,0.1238,0.5312
train,3,monarchy,0.2011,1,0,0,1,12.0,0.1874,0.1135,0.599
train,3,dictatorship,0.2011,1,0,0,1,12.0,0.4021,0.1504,0.6042
train,3,utilitarian,0.2011,1,0,0,1,9.0,0.1938,0.0564,0.5
train,3,reputation,0.2011,1,0,0,1,12.0,0.277,0.1238,0.5312
train,3,technocracy,0.2011,1,0,0,1,12.0,0.2629,0.1022,0.5938
train,3,anarchy,0.2011,1,0,0,1,18.0,1.8491,0.0977,0.4271
train,4,democracy,0.1767,1,0,0,1,10.0,0.2207,0.1257,0.5563
train,4,monarchy,0.1767,1,0,0,1,21.0,0.1663,0.1043,0.5063
train,4,dictatorship,0.1767,1,0,0,1,46.0,0.3464,0.1189,0.5569
train,4,utilitarian,0.1767,1,0,0,1,9.0,0.1729,0.0692,0.6736
train,4,reputation,0.1767,1,0,0,1,10.0,0.2207,0.1257,0.5563
train,4,technocracy,0.1767,1,0,0,1,12.0,0.2031,0.0996,0.599
train,4,anarchy,0.1767,1,0,0,1,18.0,0.9529,0.1787,0.4991
train,5,democracy,0.1522,1,0,0,1,43.0,0.3896,0.1159,0.5417
train,5,monarchy,0.1522,1,0,0,1,17.0,0.109,0.1162,0.6025
train,5,dictatorship,0.1522,1,0,0,1,17.0,0.1647,0.119,0.6326
train,5,utilitarian,0.1522,1,1,0,0,27.0,2.5102,0.038,0.3925
train,5,reputation,0.1522,1,0,0,1,17.0,0.1841,0.1237,0.5049
train,5,technocracy,0.1522,1,0,0,1,35.0,0.376,0.0766,0.5245
train,5,anarchy,0.1522,1,0,0,1,52.0,0.7176,0.1129,0.4305
frozen_self_play,5,democracy,0.0,2,0,0,2,10.0,0.127,0.095,0.5818
frozen_self_play,5,monarchy,0.0,2,0,0,2,10.0,0.1068,0.1014,0.7289
