seed,ply,side,government,agent_id,agent_square,favourite_move,supports_selected,selected_move,raw_support_for_selected,eligible_voters,subjective_utility_of_selected,benchmark_of_favourite,best_benchmark,relative_regret,vote_weight_before,vote_weight_after,game_result
42,1,White,democracy,WR1,a1,a1b1,False,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WB1,c1,h2h4,True,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WQ1,d1,h2h4,True,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WK1,e1,h2h4,True,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WB2,f1,h2h4,True,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WN2,g1,g1h3,False,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WR2,h1,h2h4,True,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WP1,a2,h2h4,True,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WP2,b2,b2b4,False,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WP3,c2,c2c4,False,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WP4,d2,d2d4,False,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WP5,e2,e2e4,False,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WP6,f2,f2f4,False,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WP7,g2,g2g4,False,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WP8,h2,h2h4,True,h2h4,7,16,2.6502,0,0,0,1.0,1.0,Draw
42,1,White,democracy,WN1,a3,a3c4,False,h2h4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BP1,a7,a7a5,False,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BP2,b7,b7b5,False,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BP3,c7,c7c5,False,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BP4,d7,d7d5,False,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BP5,e7,e7e5,False,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BP6,f7,f7f5,False,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BP7,g7,g7g5,False,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BP8,h7,h8g8,True,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BR1,a8,h8g8,True,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BN1,b8,b8c6,False,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BB1,c8,h8g8,True,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BQ1,d8,h8g8,True,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BK1,e8,h8g8,True,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BB2,f8,h8g8,True,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BR2,h8,h8g8,True,h8g8,7,16,1.0822,0,0,0,1.0,1.0,Draw
42,2,Black,democracy,BN2,h6,h6g8,False,h8g8,7,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WR1,a1,a1b1,False,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WB1,c1,h4h5,True,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WQ1,d1,h4h5,True,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WK1,e1,h4h5,True,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WB2,f1,h4h5,True,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WN2,g1,g1h3,False,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WR2,h1,h1h3,False,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WP1,a2,h4h5,True,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WP2,b2,b2b4,False,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WP3,c2,c2c4,False,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WP4,d2,d2d4,False,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WP5,e2,e2e4,False,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WP6,f2,f2f4,False,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WP7,g2,g2g4,False,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WN1,a3,a3c4,False,h4h5,6,16,0.0,0,0,0,1.0,1.0,Draw
42,3,White,democracy,WP8,h4,h4h5,True,h4h5,6,16,2.2085,0,0,0,1.0,1.0,Draw
42,4,Black,democracy,BP1,a7,a7a5,False,h6g4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,4,Black,democracy,BP2,b7,b7b5,False,h6g4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,4,Black,democracy,BP3,c7,c7c5,False,h6g4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,4,Black,democracy,BP4,d7,d7d5,False,h6g4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,4,Black,democracy,BP5,e7,e7e5,False,h6g4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,4,Black,democracy,BP6,f7,f7f5,False,h6g4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,4,Black,democracy,BP7,g7,g7g5,False,h6g4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,4,Black,democracy,BP8,h7,h6g4,True,h6g4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,4,Black,democracy,BR1,a8,h6g4,True,h6g4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,4,Black,democracy,BN1,b8,b8c6,False,h6g4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,4,Black,democracy,BB1,c8,h6g4,True,h6g4,7,16,0.0,0,0,0,1.0,1.0,Draw
42,4,Black,democracy,BQ1,d8,h6g4,True,h6g4,7,16,0.0,0,0,0,1.0,1.0,Draw
